archivo,nodos,densidad,particiones,i,j,varsel,nodesel,tt,ta
instancia-20-25-5.1.4.2.0.col.solved,20,25,5,1,4,2,0,0.00804901,0.0067699
instancia-20-25-5.1.4.3.0.col.solved,20,25,5,1,4,3,0,0.010637,0.0083859
instancia-20-25-5.1.4.4.0.col.solved,20,25,5,1,4,4,0,0.0112619,0.0105591
instancia-20-25-5.1.5.-1.0.col.solved,20,25,5,1,5,-1,0,0.00406718,0.00352502
instancia-20-25-5.1.5.0.0.col.solved,20,25,5,1,5,0,0,0.00779891,0.0068469
instancia-20-25-5.1.5.0.1.col.solved,20,25,5,1,5,0,1,0.00413609,0.00352788
instancia-20-25-5.1.5.0.2.col.solved,20,25,5,1,5,0,2,0.00922322,0.00784206
instancia-20-25-5.1.5.0.3.col.solved,20,25,5,1,5,0,3,0.00422287,0.00343013
instancia-20-25-5.1.5.1.0.col.solved,20,25,5,1,5,1,0,0.00695801,0.00601602
instancia-20-25-5.1.5.2.0.col.solved,20,25,5,1,5,2,0,0.00695205,0.00554609
instancia-20-25-5.1.5.3.0.col.solved,20,25,5,1,5,3,0,0.00675607,0.00587511
instancia-20-25-5.1.5.4.0.col.solved,20,25,5,1,5,4,0,0.0109758,0.00960183
instancia-20-25-5.2.1.-1.0.col.solved,20,25,5,2,1,-1,0,0.0071671,0.00606394
instancia-20-25-5.2.1.0.0.col.solved,20,25,5,2,1,0,0,0.0146031,0.0140302
instancia-20-25-5.2.1.0.1.col.solved,20,25,5,2,1,0,1,0.00900102,0.00752401
instancia-20-25-5.2.1.0.2.col.solved,20,25,5,2,1,0,2,0.0119019,0.010632
instancia-20-25-5.2.1.0.3.col.solved,20,25,5,2,1,0,3,0.0102069,0.00961304
instancia-20-25-5.2.1.1.0.col.solved,20,25,5,2,1,1,0,0.0109332,0.00960207
instancia-20-25-5.2.1.2.0.col.solved,20,25,5,2,1,2,0,0.00821114,0.0076921
instancia-20-25-5.2.1.3.0.col.solved,20,25,5,2,1,3,0,0.0107019,0.00990391
instancia-20-25-5.2.1.4.0.col.solved,20,25,5,2,1,4,0,0.0118709,0.0104041
instancia-20-25-5.2.2.-1.0.col.solved,20,25,5,2,2,-1,0,0.00683713,0.00619006
instancia-20-25-5.2.2.0.0.col.solved,20,25,5,2,2,0,0,0.00726604,0.00595403
instancia-20-25-5.2.2.0.1.col.solved,20,25,5,2,2,0,1,0.00872707,0.00716496
instancia-20-25-5.2.2.0.2.col.solved,20,25,5,2,2,0,2,0.00806594,0.00712395
instancia-20-25-5.2.2.0.3.col.solved,20,25,5,2,2,0,3,0.00665402,0.00529695
instancia-20-25-5.2.2.1.0.col.solved,20,25,5,2,2,1,0,0.00508094,0.00450301
